employee_id,department,work_mode,joining_date,manager_id,job_level,age_group,location,team_name
EMP001,Tech,Onsite,24-11-2023,MGR004,Junior,40-49,Mumbai,Tech_Team_4
EMP002,Tech,Remote,17-11-2025,MGR024,Junior,20-29,Chennai,Tech_Team_7
EMP003,Tech,Remote,13-11-2021,MGR001,Junior,30-39,Mumbai,Tech_Team_1
EMP004,Tech,Onsite,02-11-2022,MGR007,Lead,30-39,Hyderabad,Tech_Team_5
EMP005,Tech,Remote,09-07-2023,MGR025,Mid-Level,50+,Delhi,Tech_Team_5
EMP006,Tech,Remote,02-09-2022,MGR007,Senior,20-29,Bangalore,Tech_Team_7
EMP007,Tech,Remote,01-03-2022,MGR012,Senior,40-49,Bangalore,Tech_Team_8
EMP008,Tech,Onsite,10-09-2022,MGR004,Lead,20-29,Chennai,Tech_Team_5
EMP009,Tech,Onsite,08-04-2025,MGR020,Senior,30-39,Kochi,Tech_Team_2
EMP010,Tech,Remote,03-06-2023,MGR022,Mid-Level,40-49,Bangalore,Tech_Team_4
EMP011,Tech,Remote,24-04-2024,MGR013,Senior,50+,Kochi,Tech_Team_6
EMP012,Tech,Remote,31-03-2024,MGR012,Senior,30-39,Kochi,Tech_Team_5
EMP013,Tech,Onsite,08-02-2022,MGR022,Junior,30-39,Chennai,Tech_Team_4
EMP014,Tech,Remote,08-03-2026,MGR015,Lead,40-49,Kochi,Tech_Team_4
EMP015,Tech,Onsite,07-09-2025,MGR011,Junior,30-39,Bangalore,Tech_Team_6
EMP016,Tech,Hybrid,07-03-2025,MGR009,Junior,30-39,Chennai,Tech_Team_6
EMP017,Tech,Remote,26-02-2025,MGR021,Lead,50+,Kochi,Tech_Team_8
EMP018,Tech,Remote,16-05-2024,MGR009,Mid-Level,30-39,Kochi,Tech_Team_5
EMP019,Tech,Onsite,11-07-2024,MGR019,Lead,50+,Delhi,Tech_Team_4
EMP020,Tech,Remote,21-02-2022,MGR017,Lead,20-29,Bangalore,Tech_Team_2
EMP021,Tech,Remote,28-04-2024,MGR021,Mid-Level,50+,Chennai,Tech_Team_2
EMP022,Tech,Hybrid,28-07-2022,MGR013,Lead,40-49,Chennai,Tech_Team_1
EMP023,Tech,Onsite,11-05-2024,MGR024,Junior,40-49,Kochi,Tech_Team_6
EMP024,Tech,Remote,01-08-2024,MGR010,Lead,30-39,Hyderabad,Tech_Team_1
EMP025,Tech,Onsite,24-11-2025,MGR024,Senior,30-39,Chennai,Tech_Team_2
EMP026,Tech,Onsite,13-09-2024,MGR010,Mid-Level,30-39,Delhi,Tech_Team_3
EMP027,Tech,Onsite,19-02-2024,MGR025,Junior,40-49,Hyderabad,Tech_Team_1
EMP028,Tech,Remote,07-02-2025,MGR012,Senior,30-39,Bangalore,Tech_Team_4
EMP029,Tech,Onsite,01-01-2023,MGR003,Junior,50+,Bangalore,Tech_Team_3
EMP030,Tech,Remote,25-04-2023,MGR022,Lead,30-39,Delhi,Tech_Team_7
EMP031,Tech,Remote,13-10-2021,MGR018,Mid-Level,40-49,Hyderabad,Tech_Team_6
EMP032,Tech,Hybrid,29-07-2022,MGR017,Lead,20-29,Mumbai,Tech_Team_4
EMP033,Tech,Remote,10-05-2025,MGR011,Junior,30-39,Chennai,Tech_Team_4
EMP034,Tech,Remote,21-11-2024,MGR003,Junior,30-39,Bangalore,Tech_Team_1
EMP035,Tech,Hybrid,06-07-2022,MGR003,Mid-Level,40-49,Kochi,Tech_Team_8
EMP036,Tech,Remote,09-12-2024,MGR018,Mid-Level,50+,Mumbai,Tech_Team_8
EMP037,Tech,Hybrid,15-06-2025,MGR007,Junior,20-29,Kochi,Tech_Team_7
EMP038,Tech,Hybrid,26-01-2022,MGR014,Lead,50+,Kochi,Tech_Team_1
EMP039,Tech,Onsite,09-06-2021,MGR021,Junior,20-29,Hyderabad,Tech_Team_6
EMP040,Tech,Remote,04-06-2021,MGR008,Mid-Level,30-39,Chennai,Tech_Team_8
EMP041,Tech,Remote,22-12-2023,MGR014,Mid-Level,40-49,Hyderabad,Tech_Team_4
EMP042,Tech,Remote,07-07-2022,MGR015,Junior,20-29,Kochi,Tech_Team_1
EMP043,Tech,Remote,16-04-2024,MGR025,Mid-Level,30-39,Hyderabad,Tech_Team_8
EMP044,Tech,Hybrid,25-05-2021,MGR007,Lead,20-29,Mumbai,Tech_Team_7
EMP045,Tech,Remote,11-03-2026,MGR013,Senior,50+,Delhi,Tech_Team_7
EMP046,Tech,Onsite,04-05-2022,MGR024,Lead,30-39,Mumbai,Tech_Team_5
EMP047,Tech,Remote,03-09-2025,MGR002,Junior,40-49,Bangalore,Tech_Team_1
EMP048,Tech,Onsite,29-06-2024,MGR016,Mid-Level,20-29,Chennai,Tech_Team_2
EMP049,Tech,Remote,10-08-2024,MGR003,Junior,30-39,Hyderabad,Tech_Team_2
EMP050,Tech,Onsite,24-06-2025,MGR008,Junior,20-29,Hyderabad,Tech_Team_6
EMP051,Tech,Hybrid,14-04-2022,MGR007,Senior,30-39,Delhi,Tech_Team_7
EMP052,Tech,Remote,11-03-2023,MGR022,Senior,50+,Delhi,Tech_Team_2
EMP053,Tech,Remote,11-06-2023,MGR015,Junior,20-29,Chennai,Tech_Team_4
EMP054,Tech,Onsite,22-07-2022,MGR009,Mid-Level,40-49,Bangalore,Tech_Team_4
EMP055,Tech,Hybrid,18-07-2021,MGR010,Mid-Level,50+,Chennai,Tech_Team_5
EMP056,Tech,Onsite,11-12-2023,MGR021,Junior,40-49,Kochi,Tech_Team_2
EMP057,Tech,Remote,20-04-2026,MGR009,Junior,20-29,Kochi,Tech_Team_3
EMP058,Tech,Hybrid,06-05-2024,MGR010,Mid-Level,40-49,Mumbai,Tech_Team_5
EMP059,Tech,Onsite,29-04-2024,MGR016,Senior,20-29,Bangalore,Tech_Team_7
EMP060,Tech,Hybrid,21-09-2021,MGR002,Junior,40-49,Mumbai,Tech_Team_5
EMP061,Tech,Remote,07-10-2023,MGR024,Lead,50+,Chennai,Tech_Team_1
EMP062,Tech,Remote,03-11-2021,MGR003,Mid-Level,20-29,Delhi,Tech_Team_3
EMP063,Tech,Hybrid,08-12-2024,MGR005,Junior,40-49,Delhi,Tech_Team_1
EMP064,Tech,Hybrid,26-03-2026,MGR007,Mid-Level,20-29,Delhi,Tech_Team_7
EMP065,Tech,Onsite,31-07-2021,MGR024,Mid-Level,30-39,Mumbai,Tech_Team_3
EMP066,Tech,Hybrid,21-02-2025,MGR001,Mid-Level,40-49,Hyderabad,Tech_Team_4
