event_id,employee_id,department,event_date,event_name,event_type,campaign_name,participation_status,participant_count,engagement_score,wellness_points,final_reward_score,reward_earned
EVT00001,EMP184,Operations,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00002,EMP218,Sales,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00003,EMP244,Sales,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00004,EMP010,Tech,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00005,EMP026,Tech,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00006,EMP011,Tech,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00007,EMP022,Tech,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00008,EMP225,Sales,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00009,EMP238,Sales,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00010,EMP165,Finance,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00011,EMP248,Sales,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00012,EMP190,Operations,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00013,EMP108,Marketing,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00014,EMP208,Operations,27-01-2025,Creative Workshop,Creative,Wellness Month,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00015,EMP189,Operations,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00016,EMP200,Operations,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00017,EMP020,Tech,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00018,EMP134,Marketing,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00019,EMP143,Finance,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00020,EMP054,Tech,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00021,EMP239,Sales,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00022,EMP009,Tech,27-01-2025,Creative Workshop,Creative,Wellness Month,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00023,EMP229,Sales,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00024,EMP018,Tech,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00025,EMP078,HR,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00026,EMP132,Marketing,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00027,EMP027,Tech,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00028,EMP070,Tech,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00029,EMP177,Operations,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00030,EMP151,Finance,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00031,EMP207,Operations,27-01-2025,Creative Workshop,Creative,Wellness Month,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00032,EMP048,Tech,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00033,EMP045,Tech,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00034,EMP042,Tech,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00035,EMP154,Finance,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00036,EMP141,Finance,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00037,EMP195,Operations,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00038,EMP241,Sales,27-01-2025,Creative Workshop,Creative,Wellness Month,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00039,EMP127,Marketing,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00040,EMP037,Tech,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00041,EMP156,Finance,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00042,EMP049,Tech,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00043,EMP139,Marketing,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00044,EMP166,Operations,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00045,EMP219,Sales,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00046,EMP091,HR,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00047,EMP160,Finance,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00048,EMP041,Tech,27-01-2025,Creative Workshop,Creative,Wellness Month,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00049,EMP240,Sales,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00050,EMP220,Sales,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00051,EMP032,Tech,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00052,EMP097,HR,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00053,EMP186,Operations,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00054,EMP210,Operations,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00055,EMP204,Operations,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00056,EMP126,Marketing,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00057,EMP029,Tech,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00058,EMP175,Operations,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00059,EMP061,Tech,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00060,EMP243,Sales,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00061,EMP191,Operations,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00062,EMP025,Tech,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00063,EMP017,Tech,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00064,EMP221,Sales,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00065,EMP138,Marketing,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00066,EMP152,Finance,27-01-2025,Creative Workshop,Creative,Wellness Month,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00067,EMP075,HR,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00068,EMP170,Operations,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00069,EMP202,Operations,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00070,EMP142,Finance,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00071,EMP120,Marketing,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00072,EMP153,Finance,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00073,EMP123,Marketing,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00074,EMP182,Operations,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00075,EMP071,HR,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00076,EMP128,Marketing,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00077,EMP162,Finance,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00078,EMP064,Tech,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00079,EMP051,Tech,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00080,EMP080,HR,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00081,EMP055,Tech,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00082,EMP125,Marketing,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00083,EMP215,Sales,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00084,EMP216,Sales,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00085,EMP150,Finance,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00086,EMP084,HR,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00087,EMP227,Sales,27-01-2025,Creative Workshop,Creative,Wellness Month,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00088,EMP178,Operations,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00089,EMP106,Marketing,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00090,EMP209,Operations,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00091,EMP088,HR,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00092,EMP245,Sales,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00093,EMP057,Tech,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00094,EMP121,Marketing,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00095,EMP119,Marketing,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00096,EMP214,Sales,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00097,EMP117,Marketing,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00098,EMP093,HR,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00099,EMP077,HR,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00100,EMP194,Operations,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00101,EMP206,Operations,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00102,EMP003,Tech,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00103,EMP083,HR,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00104,EMP079,HR,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00105,EMP053,Tech,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00106,EMP099,HR,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00107,EMP131,Marketing,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
